keywords,context,text
demonstrate#knit#needle#yarn,The,The man is demonstrating how to knit a needle and yarn together in order.
weight#bench#press#gym,The,"The gym has a weight room, press benches, and a fitness room."
sit#alligator#hold#mouth,The,The alligators are holding the mouth of a man sitting on his stomach.
wood#cut#use#piece,The,The man uses a piece of wood to cut away the bark of trees.
pour#bowl#mix#ingredient,The,The chef is pouring ingredients into a bowl and mixing them with other ingredients.
vest#work#worker#wear,The,The workers are wearing yellow vest and work at the top of the building.
stage#band#perform#crowd,The,The band performed in the crowd at the same stage where they had performed.
eat#lunch#sit#worker,The,"The workers are sitting around eating lunch, and one of them is about."
floor#fall#chair#sit,The,"The chair is sitting on the floor, and the chair is falling down."
bed#book#lay#read,The,The book was laid out in a bed that was read by the narrator.
bed#hair#comb#sit,The,The bed is sitting on the left and the hair comb is on the right.
piece#draw#marker#paper,The,The paper draws on a large number of pieces of historical marker and marker.
ride#horse#lasso#cow,The,The horse riding lasso is a cow-riding lasso used.
word#spray#paint#wall,The,The word is painted on a wall with a spray can of black paint.
throw#catch#catcher#ball,The,The catcher catches the ball and throws it to the second baseman for the out.
wear#street#walk#shirt,The,The man in black shirt is wearing a walking down the street with glasses.
house#sander#floor#sand,The,The house is on the first floor of the sand and sander factory.
dog#tug#toy#war,The,The dog is tugging on the war with a toy during the war.
jump#pile#rake#leave,The,The man is raking leaves and jumping over a pile of raked leaves.
face#pop#bubble#blow,The,The bubble is blown up by a pop on the face of a man.
street#scooter#motorize#ride,The,The motorized scooter rides on the street next to a motorized bicycle.
lay#tickle#laugh#bed,The,The bed is laid out with a laugh and tickle in the middle.
cigarette#continue#look#smoke,The,"The smoke continued to billow, looking like a huge cigar with smoke."
race#compete#pool#swimmer,The,The swimming pool is a two-race facility that competes in U.
ocean#catch#surfboard#wave,The,The surfboard is caught in the ocean by a large wave off the coast.
plate#food#eat#face,The,The food is on a white plate that has been eaten by the face.
dribble#court#ball#player,The,The ball is played by two players at the court and is dribbled.
iron#straighten#demonstrate#hair,The,The man in black demonstrates how to straighten his hair with a iron.
hit#alley#roll#ball,The,The ball rolls down the alley and it hits a man in the face.
front#brush#mirror#tooth,The,The mirror has a small brush in front of it with teeth on it.
leap#dog#air#ball,The,The dog is air-lifted to a ball on the Leap.
camel#ride#lead#top,The,The man is leading a camel ride through the top of a small mountain.
jump#run#track#perform,The,"The track was performed by the boy's father, who runs a jump."
roll#grass#dog#back,The,The dog is rolling around on the ground with its back to the grass.
watch#sit#stand#game,The,The man is watchful as the game is sitting on the stand above.
cut#hair#chair#sit,The,The man with long hair sitting on a chair is cutting up the pizza.
throw#ball#pitcher#batter,The,The pitcher throws a ball to batter during the third inning of the game.
apply#brush#makeup#face,The,The face of a man applying makeup with a brush and a smoky eye.
wear#helmet#bike#ride,The,The man is wearing a helmet and riding a bike in the parking lot.
wear#air#jump#shirt,The,The man in the shirt is wearing a ski mask and jumps off the air.
field#catch#football#throw,The,The field of football was thrown into a storm when it was caught off guard.
arm#throw#air#dismount,The,"The air was dismounted, and the army was thrown into a state."
race#run#runner#street,The,The runner ran down the street to the racecourse in the early morning.
tie#knot#demonstrate#rope,The,The man demonstrating the ropes is tied up by a red knot in white.
table#sit#beer#glass,The,The table below shows the two types of beer that sit in the glass.
bull#ride#chase#horse,The,The man is riding a horse and chases a bull through the jungle.
beer#fill#glass#tap,The,"The glass is filled with beer, water, tap water, and soda."
push#cart#toddler#store,The,The toddler is pushing a cart with two of his siblings and two store.
walk#street#fall#snow,The,The snow fell on the street and people were walking around in the snow.
smoke#pipe#smoke#blow,The,The smoke is blown out of the pipe and smoke is emitted from it.
jump#run#track#sand,The,The sand is running down the track and the man jumps onto the track.
music#dance#head#shake,The,The music is shaking the head of a young man who has just danced.
snack#eat#floor#sit,The,The giraffe is sitting on the floor eating a snack of grass.
fish#food#pond#feed,The,The fish is fed on the edge of a pond with food in it.
paddle#body#water#kayak,The,"The body is paddleable, kayak and canoes are water."
wool#shave#sheep#hold,The,The sheep are being held by a man who is wearing a black woollen jacket.
head#lift#drop#weight,The,The head of the weightlifting team dropped out of the competition on account.
pineapple#knife#cut#skin,The,"The man cut the knife with his bare skin, peeling the pineapple."
dog#stand#groom#table,The,The dog is standing next to a table where a groomer is doing something.
music#treadmill#run#listen,The,The guy is listening to music on his treadmill while running on the track.
ceiling#climb#hang#rope,The,"The ceiling is hung with ropes, and the boys climb up to it."
wear#stage#dance#dancer,The,The dancer is wearing a dress that has been staged by the dancers dance team.
work#break#take#worker,The,"The workers are taken to work, but they must break their daily routine."
water#tail#alligator#pull,The,The water pulls alligators away from the tail of a mangrove.
bucket#milk#cow#hand,The,The Buckets of milk are handed over to a cow at the farm.
bicycle#ground#ride#fall,The,The man is riding on the ground with his bicycle after falling off it.
gym#tricep#pull#down,The,The tricep pull down on the gym next to me is slow motion.
costume#dance#street#wear,The,The street costume is worn by people who have never danced in the streets.
hold#ask#sign#money,The,"The boy is asked to hold a sign that says ""Money for You""."
find#walk#wood#mushroom,The,The man is walking through the woods and finds a mushroom on the ground.
sharpener#sharpen#drill#pencil,The,The scissors drill is a sharpener with a sharpening pencil attached to it.
knife#chop#cut#board,The,The man cutting a knife with a cutting board is doing so to cut.
shake#table#sit#head,The,The man is shaking and sitting on the head of a table with glasses.
stand#goat#feed#fence,The,The giraffe standing next to a fence with a goat feeding from it.
water#pool#swim#jump,The,The swimming pool is open to the public and jumping into the water is permitted.
shave#leg#put#cream,The,The man putting the cream on his leg is Shave and a Hair.
building#window#wash#hang,The,The building was washed out by a window that had been hanging from it.
market#fruit#sell#vegetable,The,"The fruit is sold in markets, supermarkets, and many other local vegetables."
music#dance#room#perform,The,The music is performed in the room by the musicians who have been dancing.
wear#hand#hold#shirt,The,The man in white shirt is holding a hand to his face and wearing.
bike#ride#take#break,The,The man is taking a break from riding his bike through the rainforest.
candle#blow#birthday#cake,The,The candle is blown out of the cake with a twig on birthday.
ride#fall#bike#ramp,The,The bike falls off the ramp and is riding down the track in slow motion.
run#ball#dog#mouth,The,The dog runs around the mouth of the ball and drifts off again.
ball#owner#dog#throw,The,The dog is the owner of the ball and throws it to the opponent.
read#bench#paper#sit,The,The paper sits on a bench read by a man who looks to be.
dog#path#bush#run,The,The dog runs down the path to the bush where it is about to eat.
run#jump#field#hurdle,The,The field is open to jump as many hurdles as you can and run.
dough#roll#piece#hand,The,The dough is rolled out onto a piece of paper and then the hands.
spin#field#throw#discus,The,The discus throw is a spin on the field in which the discus.
game#pass#ball#team,The,The team also passed a ball through the legs of a player during play.
wall#walk#cover#graffiti,The,"The walls of the room are covered with graffiti, and a walkway."
hit#ball#game#tennis,The,The ball hit the tennis player in the back of the head at game.
roast#marshmallow#campfire#sit,The,The Marshallmallow is sitting on the roof of the campfire in slow motion.
hand#couple#street#walk,The,The couple walk through the streets of their home with their hands on each other.
dog#bed#take#nap,The,The dog is taking a nap on the bed next to the bedding.
eat#worker#sandwich#break,The,"The man is eating a sandwich, and the worker is breaking it up."
roll#dice#piece#move,The,The piece was moved to the final roll of the dice next to it.
snow#ride#hill#bike,The,The man is riding a bike down a hill with snow on the ground.
sausage#roll#pan#cook,The,The panning shot of the sauna pans out to cook the rolls.
roll#dough#pin#flour,The,The dough is rolled out to a fluted pin in the same manner.
table#throw#ball#cup,The,The table below shows the ball throwers in the 2011 MLS Cup Playoffs.
ride#pull#cart#donkey,The,The donkey pulls the cart as it rides through the streets of the city.
lay#bench#weight#lift,The,The bench lifted the weight and laid it down on the ground next to him.
throw#pass#game#quarterback,The,The game is throwback to the quarterback passing in the NFL of days.
walk#road#bike#ride,The,The man is walking along the road with his bike riding on the grass.
ball#player#field#throw,The,The player throws a ball into the air and the field is filled with people.
sew#machine#needle#thread,The,The machine seems to have been sewn with threads of needle and yarn.
soap#dog#water#scrub,The,The hot dog is soap with scrubbing water on a wooden board.
faucet#turn#rinse#hand,The,The hand is then raked over the faucet and turns rinse.
drive#car#shift#gear,The,The car is driving on the gear shift and the car is in gear.
parade#watch#street#side,The,The street is side by side with the parades that watch over it.
flag#horse#ride#carry,The,The horse is carrying the flag of France riding down the aisle of St.
club#ball#hit#course,The,"The ball hit the golf course and exploded, exploding onto the other club."
stand#wear#building#front,The,The building is wearing a yellow and white stand in front of the building.
band#parade#march#instrument,The,The band plays instruments on a parade march through the city on May 30.
mirror#brush#hair#look,The,"The mirror is looking good, but her hair is brushed to one side."
train#platform#stand#wait,The,The train is on the platform waiting to stand down for the next train.
plaster#apply#wall#tool,The,The tools and tools can be applied to any plastered wall or ceiling.
stage#perform#audience#front,The,The audience can be performed in front of a live audience at any stage.
calf#rodeo#cowboy#rope,The,The rodeo cowboy with a calf on a rope next to a horse.
head#shave#chair#sit,The,The man is sitting on the chair with his head shaved and a beard.
fold#sit#table#paper,The,"The paper is sitting on a table, and it is folded in half."
laugh#put#foot#face,The,The man puts his foot on the face of a young girl and laughs.
run#kick#ball#grass,The,The ball kicks up and he runs down the grass with it in one hand.
player#oppose#ball#team,The,"The team also opposed the ball, as the players were not happy about it."
ride#ball#hit#horse,The,The horse is hit by the ball and rides off in the opposite direction.
listen#ride#bike#music,The,The man is listening to music on his bike while riding through the city.
hit#racket#hold#ball,The,The ball is hit by a racket which is held by the right hand.
shirt#hit#ball#wall,The,The ball hit the wall with a huge thump and the red shirts.
wear#grill#shirt#cook,The,The man is wearing a white shirt and cooking on a grill in what appears to be.
jump#flip#water#board,The,"The board is split down the middle, with water jumping over the flip."
front#weight#mirror#lift,The,The mirror is lifted up to the weight of the front of the chair.
gym#perform#exercise#rope,The,The gymnast performs a gymnastic exercise with ropes and other equipment around her.
jockey#ride#horse#race,The,The horse is racing through the snow and jockey is riding in the race.
water#dog#mouth#stick,The,"The dog is stuck in the mouth of a deep, deep waterhole."
apply#makeup#mirror#look,The,"The makeup is applied to the skin, looking like a mirror image of itself."
fly#bird#hold#hand,The,The bird holds the hand of a man who is flying away from it.
talk#eat#sit#table,The,The man sits on a table and talks to someone who is eating something.
egg#cook#fry#pan,The,The pan is cooked and the eggs are ready to be fried in it.
field#ball#kick#kid,The,The ball is kicked into the field of play by a kid with blue eyes.
run#hit#player#ball,The,"The ball was hit by the player, who ran to the other end."
horse#field#polo#ride,The,The horse is riding in a field of polo on a sunny day.
use#razor#shave#leg,The,The leg is used by a razor to shaved off the top of it.
sit#music#chair#listen,The,The man is sitting on a chair listening to music on his laptop computer.
paper#rock#game#scissor,The,"The paper is a game of scissors, rock, and paper in which teams."
glass#chair#sit#wear,The,The man is wearing a chair with a glass sitting on top of it.
use#bolt#loosen#wrench,The,The bolts were used to loosen the bolts that were tightening the tensioner.
cafe#coffee#drink#sit,The,The coffee is sitting in a cafe that has been drinking it for years.
hand#car#wheel#drive,The,The car is driving on the right hand side of the wheel without slowing down.
take#trick#picture#skateboarder,The,The trick is to take a picture of skateboarder in the middle.
knife#sharpen#talk#demonstrate,The,The man is shown using a knife to demonstrate how to sharpen talking points.
chair#read#book#sit,The,The book is read by a man sitting on a chair that looks like it.
laugh#tear#paper#front,The,"The paper is laughing at the front of the room, tearing off papers."
sit#wrap#table#present,The,The table is presented in order to wrap up the sitting of the U.
paint#mirror#face#hold,The,The painted face is held in a mirror by a man with red paint.
hang#dog#tongue#run,The,The dog runs away and tongue is hanging out of its mouth at the camera.
dog#water#jump#dock,The,The dog jumped over the water and onto the dock next to the boat.
swing#bat#ball#hit,The,"The ball was hit with a bat, but it was not a swinging."
toy#grass#carry#dog,The,The dog carries out the taunting by lying down on the grass next to him.
snow#shovel#car#park,The,The man shovels snow out of his car in the park in the morning.
lift#spotter#help#weight,The,The boy lifts his weight off the spotter and helps him to his feet.
bar#mat#land#jump,The,The mat is jumping off the bar and lands on top of a man.
bike#tree#surround#ride,The,"The bike is surrounded by trees, and rides on the same road as it."
hammer#use#tire#hit,The,The man uses a hammer to hit the tire on the front of the vehicle.
neck#tie#demonstrate#tie,The,The ties were demonstrated with ties tied to the neck of a young man.
grinder#meat#grind#bowl,The,The man grinds his meat with a wooden bowl and grinds it.
floor#sit#present#open,The,The station opened on the first floor and was presented as a sitting room.
carry#bag#street#walk,The,The man is carrying a bag that is walking across the street towards him.
plant#hose#water#hold,The,The water is holding on to the plants and hulks of trees.
ball#catch#dog#jump,The,The dog jumped on the ball and caught it with both of its feet.
ride#jump#horse#obstacle,The,The horse jumping obstacles were the same as the ride at the amusement park.
food#apron#prepare#wear,The,The woman is wearing a black and white food prepared by apron around her.
ocean#ride#surfer#wave,The,The surfers are riding in the ocean with waves as high as well.
wall#place#brick#mortar#build,The,"The walls were built of brick and mortar, and placed on the ground."
sew#fabric#stitch#piece#machine,The,The fabric is patterned after a piece of sewing machine fabric and stitch.
press#scanner#place#button#card,The,The button is placed on the scanner and pressed by the card's user.
ball#baseball#practice#throw#catch,The,The practice of throwing a baseball at a ball is called catching a ball.
throw#stand#discus#spin#area,The,The discus is spun and the discus stands to throw in area.
practice#tennis#ball#wall#bounce,The,The ball bounce on the wall of tennis practice is slow as a doll.
wood#dog#snow#catch#fall,The,The dog is caught by the snow and the wood falls onto the snow.
tissue#blow#nose#stand#toddler,The,The toddler is blown away by her teddy bear and stands with her nose.
road#truck#pass#draw#cart,The,The truck passed through the cart road and drew up in front of it.
machine#bowl#roast#bean#pour,The,The man is pouring coffee beans into a bowl to roast on a machine.
kite#ride#hold#snowboard#pull,The,The man is holding a skateboard and is pulling a snowboarder down.
beach#leash#dog#jump#hold,The,The dog is holding a leash and jumping on the beach with other dogs.
foot#shuffle#listen#music#dance,The,The music was shuffled back to the foot of the dance listening room.
hand#wash#hose#water#plant,The,The water is washing away the plants and hands of the huts below.
horse#watch#cowboy#rodeo#throw,The,The rodeo is a horse-racing event thrown by the cowboy.
knife#fork#plate#spoon#sandwich,The,"The plate has a small spoon, a sandwich knife and a fork on it."
wash#sit#chair#foot#row,The,The chair is sitting on the foot of a row of washed out windows.
kid#street#ride#helmet#scooter,The,The kids are riding scooters and helmets on the streets of the city.
friend#knit#enjoy#learn#celebration,The,The friends enjoyed a celebration after learning they were knit into the same group.
piece#paper#hand#pencil#draw,The,The paper drew a drawing on the hand with pencil and a piece of paper.
sit#stand#hand#pool#splash,The,"The pool sits on a sloping, hand- splinted stand."
son#father#ride#bike#watch,The,The father is watching his son riding a bike down the road in slow motion.
swim#water#picture#take#photographer,The,"The picture taken by photographer, Swim with the water at the beach."
jump#shoot#hoop#basketball#trampoline,The,"The first shot of ""Trampoline"" jumps off the basketball hoop."
sit#animal#fur#top#pet,The,The fur is satiny and animal-like on top of a pet.
front#audience#cowboy#horse#ride,The,The horse rode through the audience in front of the cowboy on the stage.
stretch#lie#use#band#leg,The,The band uses a stretchy leg band to lie down on their stomach.
policeman#motorcycle#ride#wear#jacket,The,The man is wearing a black jacket and riding a motorcycle with a policeman.
read#grass#book#sunglass#lay,The,The book is laid out in a staccato read by Sunglasses.
cheer#score#team#goal#crowd,The,The team scored a goal in the first minute of the crowd's cheer.
glove#smoke#wear#cigarette#blow,The,The man wears a cigarette and smoke is blown out of his eyesglove.
listen#stand#front#music#microphone,The,The man is standing in front of the microphone listening to his own music.
music#headphone#listen#walk#wear,The,The man is wearing a black tracksuit and listening to music while walking.
skate#skate#figure#perform#routine,The,The male figure is performing a skate routine on his skateboard nearby.
back#talk#sit#lie#floor,The,The man sits on the back of a talk show lying on the floor.
meat#grinder#put#fall#bowl,The,The bowl of meat is put in the fall grinder and the bowl.
talk#eat#kid#seat#background,The,The kids are talking about a black man eating a black background with black seat.
juggle#light#ball#fire#hold,The,The ball was held by a juggler for the lights to fire.
tool#bottle#use#remove#cork,The,The man uses a cork to remove the bottles and other tools surrounding it.
let#ground#ball#touch#kick,The,The ball was kicked to the ground and let go by touch by person.
short#bench#sit#top#wear,The,The bench sitting on the top of the cliff was short and worn out.
practice#fall#net#trapeze#swinge,The,The net was Trapeze in practice and it fell short of swing.
player#jersey#wear#pant#helmet,The,The Panthers wore a jersey with the number of the player on their helmet.
saute#demonstrate#vegetable#pan#chef,The,The chef demonstrates how to pan-fry vegetables in a saute.
pull#cookie#oven#place#candy,The,The cookie is placed in the oven to keep the candy pulled out long enough.
bride#stand#bridesmaid#groomsman#groom,The,The bride is standing by the bridesmaids and groom's bride.
shake#bed#sit#bottle#head,The,The man sitting next to the bottle was shaking his head in a bed.
hold#put#hand#lady#soap,The,The lady is putting on her hand to hold the soap from the tub.
goggle#pool#hand#jump#hold,The,"The boy's hand jumped to the pool, holding a goggle upward."
ball#field#kick#run#goal,The,"The field goal kicked off the ball, which ran back to the U."
lead#ride#desert#camel#guide,The,The camel is guided by a man riding a lead in the desert near.
relax#clothing#beach#hang#suit,The,The beach is related to a suit of clothing hanging on a wooden boat.
street#bicycle#ride#wear#hat,The,The man is wearing a hat and riding a bicycle on the street outside.
whistle#spectator#blow#referee#watch,The,The referee watched the play and blew the whistle for a foul by spectators.
fight#audience#belt#front#artist,The,The audience was shocked by the artist's belt fight in front of them.
wear#toilet#glove#brush#clean,The,The man is wearing a black glove and has brush to clean the toilet.
sew#give#machine#instruction#use,The,The machine uses conditional instructions to give it the ability tosew together.
ride#paint#face#bike#drag,The,"The bike is painted in the face of the ride, dragging it down."
box#cut#wrap#strip#paper,The,The box was cut open and a strip of paper wrapped around the box.
tap#hand#pen#hold#table,The,The pen is holding a table with a hand-held tap on it.
mower#helmet#race#track#wear,The,The race is wearing on the helmet of the rider on the track next to him.
sail#ride#wind#power#vehicle,The,The vehicle is powered by a turbocharged diesel engine that rides on wind.
hit#caddy#scorekeeper#wait#ball,The,The ball is waiting for Caddy to hit the ball and scorekeeper.
floor#clean#mop#chase#dog,The,"The mop is clean, chunky, and dog-like floor."
father#daughter#son#plant#tree,The,The daughter of the son of the tree planted by his father is there.
member#instrument#parade#band#march,The,The band members marched in the parade with other musical instruments as a tribute.
walk#field#leash#grass#dog,The,The dog is walking on the grass with his leash on the field behind home.
mirror#adjust#tie#front#stand,The,The mirror is adjusted to the front of the tie-dye stand.
suck#sucker#put#lip#mouth,The,"The mouth is putting on a suck, and its lips are getting stuck."
hang#doughnut#eat#kid#string,The,The doughnuts are hanging on a string to eat by the kids outside.
pad#hold#air#head#kick,The,The PADI Air Force also held a kick-off on July.
direction#swim#flip#pool#wall,The,"The pool is open to swim, flip-flop, and direction."
leg#massage#masseuse#table#lie,The,The woman lies down on the table and lifts her legs to lie down again.
front#house#run#field#dog,The,The house runs on a hot field with hot dogs in front of it.
head#rest#shoulder#close#eye,The,The rest of the eyes closed and someone's head was on his shoulder.
lie#shirt#pant#wear#beach,The,The Panthers are wearing black and white shirts and lay out on the beach.
puddle#rain#splash#dog#water,The,The dog is splashing water in the rain and puddles around.
car#street#ride#camel#pass,The,The camel is passing through the street and riding on the car's roof.
row#wear#shirt#boat#water,The,The boat was wearing a yellow water-resistance shirt in a row.
keep#kick#ball#air#foot,The,"The ball was kicked into the air, keeping it in the same foot."
concert#clap#crowd#wear#wristband,The,The concert is wearing a wristband with a huge crowd of clap.
fall#run#bag#punch#kick,The,"The man runs away, falling onto a bag which kicks up a punch."
perform#wood#kick#block#karate,The,The block is usually performed by karate or kick-boxing in wood.
demonstrate#hand#fold#pair#napkin,The,The pair are demonstrating how to hand-fold napkin and napkin.
cook#stone#pour#knife#oil,The,The man pouring the oil onto the stone is cooking with a small knife.
coat#chair#sit#wear#hat,The,"The man is wearing a hat and a coat, sitting on a chair."
area#game#ball#begin#hit,The,The game began with a ball hit into the area by Mikel Nieder.
pull#hand#back#neck#cup,The,The man is pulling a hand over his face with his back to the cup.
wine#open#stand#attempt#bottle,The,"The man opened the bottle and attempted to stand up, but the wine."
walk#wear#snow#sweater#dog,The,The snow is wearing a gray sweater and a dog walking across the snow.
clothing#piece#bucket#water#wash,The,The man is washing a piece of clothing with a bucket of water nearby.
sweep#curl#stone#front#ice,The,The ice cream is in the shape of flowers curled up in front of stones.
body#spread#water#wing#bird,The,"The wings are spread out over the water, with birds on the bodies."
field#tug#dog#mime#war,The,The dog mime of a dog tugging on a field of war.
spray#paint#wall#word#paint,The,The painting is painted on the wall with sprays of words and colors.
line#stand#wait#buy#cream,The,The line was bought in cream and waiting to be stood up by Mrs.
allow#dog#say#sign#walk,The,The dog is said to have signalled that it would allow a walk.
sit#set#floor#row#domino,The,The two rows of dominoes are set to sit on the floor.
dog#check#phone#walk#pier,The,The dog is checking out the phone and walks across the pier towards it.
space#use#lay#brick#spacer,The,The spacer was used in the space laid out by the spacer.
anvil#metal#piece#hammer#hit,The,The hammer is a piece of metal that hits anvils and grinds.
demonstrate#sit#fold#shirt#floor,The,The man in black shirt is demonstrating how to sit on the folded floor.
leave#friend#wedding#groom#bride,The,The bride is groomed and left for her wedding by her best friend.
axe#target#throw#hit#bullseye,The,The target of the hit is thrown to the bullseye with axe.
tie#piece#demonstrate#knot#string,The,The piece demonstrates the knotting of strings and tying them together in order.
carry#surround#crowd#flag#wave,The,The flag is surrounded by a large crowd of people carrying waving and chanting.
pit#land#track#jump#run,The,The pit jump is on the track to the right of the landing strip.
motorcycle#vest#wear#helmet#sit,The,The motorcycle is sitting on a tarmac wearing a vest with a helmet.
toddler#spaghetti#fork#table#sit,The,The table below is a simplified layout of the pizza toppings sitting on pizza.
worker#vest#sit#break#take,The,"The workers were taken to the vestibule, where they sat broken."
mower#grass#sit#field#mow,The,The mowing grass sits in a field mowed by a mower.
night#welder#fly#spark#work,The,The welder is working on a spark-up night to fly him.
blow#hold#create#flame#fire,The,"The Flames held a practice session, creating a fire to blow off steam."
wear#walk#flight#stair#clothing,The,The stairs are worn and the clothing is walking on a flight of stairs.
bottle#feed#hold#pond#fish,The,The fish are being held in a feeder pond with bottles of water.
apply#leg#hair#strip#remove,The,The black hair was removed and applied to a strip of black leg hair.
chair#sit#book#look#hold,The,The book is a look at how a chair sits and holds its shape.
wall#sit#floor#paperwork#look,The,The walled city looks like a floor that sits on paperwork and rules.
goal#score#win#player#game,The,The player won the game by scoring two goals in the first and third games.
mouth#run#hang#field#tongue,The,The tongue hangs out of the mouth and runs across the field of teeth.
track#run#watch#throw#pole,The,The tracks are run by a man who throws a pole to watch them.
apply#mirror#look#eye#mascara,The,The mirror is applied to the eye and looking through the eyes of mascara.
water#pour#tea#cup#milk,The,"The cup is poured into a tea cup with milk, water and sugar."
belt#fill#move#machine#bag,The,The machine is filled with a moving bag of conveyor belts and bags.
run#dog#throw#fetch#disc,The,The dog is running around the disc and throws it to the fetching dog.
