keywords,context,text
run#jump#field#hurdle,The,"The field jumped off the cliff, and he ran with all his might to the roadside."
dough#roll#piece#hand,The,"The dough is rolled out onto a piece of paper, then placed on the right hand."
spin#field#throw#discus,The,The discus throw is one of the most powerful throws in the field and its spin.
game#pass#ball#team,The,The team also passed on the ball to Cantona in the final game of the season.
wall#walk#cover#graffiti,The,"The walls of the shelter were covered with graffiti, and a walkway to the outside."
hit#ball#game#tennis,The,The ball was hit in the first game of a double-elimination tournament tennis tournament.
roast#marshmallow#campfire#sit,The,The Marshallmallow is a campfire sitting on the roof of a rocky outcropping.
hand#couple#street#walk,The,The couple walk through the streets of the city with their hands over their heads in silence.
dog#bed#take#nap,The,The dog is taking a nap on the bed next to the couch and the other dog.
eat#worker#sandwich#break,The,"The man is eating a sandwich, and the worker breaks it off and gives it to him."
roll#dice#piece#move,The,"The piece was then moved to the London Times, where it was rolled into a dice."
snow#ride#hill#bike,The,The man is riding a snowmobile down a hill with his bike behind him in the snow.
sausage#roll#pan#cook,The,The panning shot of the girl is then rolled up to cook in the Sausage.
roll#dough#pin#flour,The,The dough is rolled out to a thickness of 1/4 to 1/3 flour.
table#throw#ball#cup,The,The table below shows the ball throwers who have been in the ODI cup competition.
ride#pull#cart#donkey,The,The donkey pulls the cart and the horse rides in the middle of the group of people.
lay#bench#weight#lift,The,The bench lifted the weight of the man and laid him down on the floor of it.
throw#pass#game#quarterback,The,"The game passes quickly, but the quarterback throws an incomplete pass to a wide receiver wide receiver."
walk#road#bike#ride,The,The man is walking along the road with his bike riding on the ground next to him.
ball#player#field#throw,The,The player throws the ball into the air and the field is set up for the throw.
sew#machine#needle#thread,The,"The sewing machine is threaded through the needle, and the sewers work on it."
soap#dog#water#scrub,The,The hot dog has been a hot spot in the water with the Soap and scrub.
faucet#turn#rinse#hand,The,The hand is then raked over the faucet and turns to rinse the hand.
drive#car#shift#gear,The,The car is shifted into gear and the car drives away from the parking lot in slow motion.
parade#watch#street#side,The,"The street is side by side with the parades, and people watch from the windows."
flag#horse#ride#carry,The,The horse is carrying the flag of France and riding down the aisle of the presidential palace.
club#ball#hit#course,The,"The ball hit the golf course, but the ball was not hit by the golf club."
stand#wear#building#front,The,The building stands in front of the worn-out buildings of the old town of St.
band#parade#march#instrument,The,The band is currently on a national tour with instruments and a parade march through North America.
mirror#brush#hair#look,The,The mirror has a black and white look to it with black hair and dark brown brush.
train#platform#stand#wait,The,The station is standing on a platform waiting for trains to be ready for the new year.
plaster#apply#wall#tool,The,The tools and tools can be applied to any plaster or cement wall in the home.
stage#perform#audience#front,The,The audience then performs a second stage in front of the camera that is not fully visible.
calf#rodeo#cowboy#rope,The,"The rodeo cowboy with a calf on a rope, one of the most famous horses."
head#shave#chair#sit,The,The head of the Department of Justice is sitting on a leather chair with a shaved head.
fold#sit#table#paper,The,"The paper is sitting on the table, and it is folded up in between two books."
laugh#put#foot#face,The,The man is putting the face of a man who is laughing at his feet and laughing.
run#kick#ball#grass,The,The ball kicks off with a long run up the grass to the right of the field.
player#oppose#ball#team,The,"The team also opposed the ball player, as he was the only player in the game."
ride#ball#hit#horse,The,"The horse is hit by the ball and rides off, but not before it is hit."
listen#ride#bike#music,The,The man is listening to music on his bike while riding through the city on sunday.
hit#racket#hold#ball,The,"The ball is hit by the racket, which is held in the right hand by person."
shirt#hit#ball#wall,The,"The ball hit the wall, and the shirtless man fell to the ground with his face."
wear#grill#shirt#cook,The,The man is wearing a white shirt and is cooking a grilled chicken on a wooden stove.
jump#flip#water#board,The,The board of the water polo team jumped to their feet and flipped over the table.
front#weight#mirror#lift,The,"The mirror is lifted up to the front of the vehicle, with weight being transferred to it."
gym#perform#exercise#rope,The,The gymnast performs a gymnastics exercise with ropes and other equipment to improve her balance.
jockey#ride#horse#race,The,The horse is racing through the field and the jockey is riding in the same race.
water#dog#mouth#stick,The,The dog is stuck in the mouth of a man with deep-set dark brown water.
apply#makeup#mirror#look,The,"The makeup is applied to the face, then the look is set with a mirror over it."
fly#bird#hold#hand,The,The bird is holding the hand of a man who is flying away from the camera angle.
talk#eat#sit#table,The,The table is talking about a man who is sitting and eating and talking to the camera.
egg#cook#fry#pan,The,The pan is cooked and the eggs are ready to be fried in a pan of butter.
field#ball#kick#kid,The,The ball is kicked into the field of play by the two kids who are on it.
run#hit#player#ball,The,The ball was hit to the player who ran away from the ball during the first round.
horse#field#polo#ride,The,The horse is in a field riding polo with two other horses in the same field.
use#razor#shave#leg,The,The leg is used by a razor to shaved off the top of a man's head.
sit#music#chair#listen,The,The music sits on the chair and listens to the music in the room with the chair.
paper#rock#game#scissor,The,"The paper is a game of scissors, rock, and paper in which each player plays."
glass#chair#sit#wear,The,The man is wearing a glasses that are sitting on a chair and has a red shirt.
use#bolt#loosen#wrench,The,The bolts were used to loosen the bolts used to tighten the nut on the main wrench.
cafe#coffee#drink#sit,The,The cafe sits in the middle of a coffee and drink stand on the corner of St.
hand#car#wheel#drive,The,The car is powered by a single-cylinder engine driving the wheels through a hand.
take#trick#picture#skateboarder,The,The trick is to take a picture of the skateboarder in front of the camera.
knife#sharpen#talk#demonstrate,The,The man is shown using a knife to demonstrate how to sharpen and talk about it.
chair#read#book#sit,The,The book is read by American writer and sit-in activist chair of the United States.
laugh#tear#paper#front,The,"The paper is laughing at the front of the room, torn between what it can do."
sit#wrap#table#present,The,"The table below summarizes the present situation in Australia, and wraps up what is still unknown."
paint#mirror#face#hold,The,The painted face of a man in a black robe holds a mirror to the painted face.
hang#dog#tongue#run,The,The dog is running away and the tongue is hanging out of the dog's mouth again.
dog#water#jump#dock,The,"The dog jumped over the water and jumped into the dock, where it was discovered by Mr."
swing#bat#ball#hit,The,"The ball was hit with a bat, which had been used to swing the ball away."
toy#grass#carry#dog,The,The dog is carrying a teddy bear on the grass near where it was found dead.
snow#shovel#car#park,The,The man shovels snow out of his car in the park with his wife and children.
lift#spotter#help#weight,The,The boy lifts his weight off the spotter and helps him up to his feet again.
bar#mat#land#jump,The,The mat was then used to jump onto the bar and land on it's highest point.
bike#tree#surround#ride,The,"The bike is surrounded by trees, and rides on the same road as the motorbike."
hammer#use#tire#hit,The,The man uses a hammer to hit the tires of a pickup truck on sunday morning.
neck#tie#demonstrate#tie,The,"The tie is tied at 1-1, demonstrating that the tie is neck and neck."
grinder#meat#grind#bowl,The,The meat is grinder grinds into a bowl of toppings and other toppings.
floor#sit#present#open,The,The station opened on the first floor and was presented as a sitting room in 1856.
carry#bag#street#walk,The,The man is carrying a bag of cannabis and walking down the street with it in his hand.
plant#hose#water#hold,The,The water is holding on to the plants and hoses that are attached to the boat.
ball#catch#dog#jump,The,The dog jumped over the ball and caught it with both of its paws on the ground.
ride#jump#horse#obstacle,The,The horse jumps over the obstacles and rides to the other side of the track in slow motion.
food#apron#prepare#wear,The,The young woman is wearing apron and preparing food on the counter to be served out.
ocean#ride#surfer#wave,The,The surfers were the first wave to be ridden by the ocean at Surfer Bay.
wall#place#brick#mortar#build,The,"The walls were built of brick and mortar, and placed on the outside of the walls."
sew#fabric#stitch#piece#machine,The,"The piece was fabricated by Sewes, who stitching machines have been used in Europe."
press#scanner#place#button#card,The,"The button is placed on the scanner, and the card is pressed down by the user."
ball#baseball#practice#throw#catch,The,The practice of throwing balls into the middle of baseball games was caught on video by ESPN.
throw#stand#discus#spin#area,The,The discus is spun and the discus stands on its own to throw in the area.
practice#tennis#ball#wall#bounce,The,"The ball bounce off the wall and into the tennis net, which is practice for tennis."
wood#dog#snow#catch#fall,The,The dog is caught by the snow and falls to the wooded area of the property.
tissue#blow#nose#stand#toddler,The,The toddler was blown up with a tear gas canister and stood on her nose afterwards.
road#truck#pass#draw#cart,The,"The truck passed through the cart road, where it was drawn up by some of them."
machine#bowl#roast#bean#pour,The,The man is pouring coffee into a coffee mug and preparing to roast a coffee bean machine.
kite#ride#hold#snowboard#pull,The,The man is holding a skateboard that is pulled up by a snowboarder riding it.
beach#leash#dog#jump#hold,The,The dog's leash was held by a man who jumped on the beach to grab it.
foot#shuffle#listen#music#dance,The,The music was shuffled back to the foot of the dance floor and listened to it.
hand#wash#hose#water#plant,The,The water is washing away the plants and the hands of the huts of the water.
horse#watch#cowboy#rodeo#throw,The,The rodeo is a horse-racing event that is thrown by the cowboy watch.
knife#fork#plate#spoon#sandwich,The,"The plate has a small spoon, a sandwich knife, and a fork on the side."
wash#sit#chair#foot#row,The,The chair is sitting on the foot of a row of wash-up trays behind him.
kid#street#ride#helmet#scooter,The,The kids are riding scooters and the helmet is on the street with them in it.
friend#knit#enjoy#learn#celebration,The,The friends enjoyed the celebration and learned more about the knitted friends they had never met.
piece#paper#hand#pencil#draw,The,The paper drew a line in the pencil with a piece of chalk on the left hand.
sit#stand#hand#pool#splash,The,"The pool sits in a splash of water, standing on the right hand side of water."
son#father#ride#bike#watch,The,The father of the man who was riding his son on a bike while he was watching.
swim#water#picture#take#photographer,The,"The picture taken by photographer, Swim, shows the water lily as well as Mr."
jump#shoot#hoop#basketball#trampoline,The,The hoop was shot with a trampoline and jumps over the basketball in midair.
sit#animal#fur#top#pet,The,The fur is very soft and the animal sits on top of the pet's fur.
front#audience#cowboy#horse#ride,The,"The horse rode in front of the audience, and the cowboy was behind them in front."
stretch#lie#use#band#leg,The,The band uses a stretchy leg band to lie down on the floor of the studio.
policeman#motorcycle#ride#wear#jacket,The,"The man is wearing a black jacket, a black motorcycle jacket and is riding a policeman."
read#grass#book#sunglass#lay,The,"The book is laid out in three parts, which read like a sunglass through grass."
cheer#score#team#goal#crowd,The,The team scored a goal in the final minute of the first half to open the crowd.
glove#smoke#wear#cigarette#blow,The,"The man wearing a cigarette is smoking and glowing, while the woman is blowing on it."
listen#stand#front#music#microphone,The,The man is listening to music on the front of his microphone and is standing behind him.
music#headphone#listen#walk#wear,The,The man is wearing a black T-shirt and listening to music while walking towards them.
skate#skate#figure#perform#routine,The,The male figure is performing a skate routine on his skateboard at the skate park.
back#talk#sit#lie#floor,The,The baby sits on the back while the baby lies on the floor talking to the baby.
meat#grinder#put#fall#bowl,The,The bowl of meat is put in the middle of the fall grinder and the bowl.
talk#eat#kid#seat#background,The,The kids are talking to each other and eating their backgrounds and they are seated around them.
juggle#light#ball#fire#hold,The,The ball was held by Juggs for the first time in the light of fire.
tool#bottle#use#remove#cork,The,"The man uses a cork to remove the bottle, and the tools are then used."
let#ground#ball#touch#kick,The,"The ball was kicked to the ground and let go, touching the ground at the ground."
short#bench#sit#top#wear,The,"The bench was short-handed, with only two sitting on the top of the bench."
practice#fall#net#trapeze#swinge,The,"The net was Trapeze in practice, but it fell off and I was swinging."
player#jersey#wear#pant#helmet,The,"The Panthers wore a jersey with the number ""6"" on the helmet for the player."
saute#demonstrate#vegetable#pan#chef,The,The man is demonstrating how to pan the vegetables in a chef's saute pan over medium heat.
pull#cookie#oven#place#candy,The,The cookie is placed in the oven and the candy is pulled out of the oven soon afterward.
bride#stand#bridesmaid#groomsman#groom,The,The bride is a bridesmaid and the groom is a stand in for the bride.
shake#bed#sit#bottle#head,The,The man is shaking his head and sitting on the bed next to a bottle of water.
hold#put#hand#lady#soap,The,"The lady is putting her hand on the soap, she is holding it up to me."
goggle#pool#hand#jump#hold,The,"The pool's hand jumped, and Goggle held it up in front of the camera."
ball#field#kick#run#goal,The,"The field goal kicked off the ball, which ran into the end zone for a 7."
lead#ride#desert#camel#guide,The,The camel is guided by a man who leads it and rides in the desert with it.
relax#clothing#beach#hang#suit,The,"The beach is used to hang clothing, suitcases, and related items from the beach."
street#bicycle#ride#wear#hat,The,The man is wearing a hat and is riding on a bicycle in the street near it.
whistle#spectator#blow#referee#watch,The,"The referee watched the whole match and was blown away by the spectators, who were whistling."
fight#audience#belt#front#artist,The,The audience was very much in front of the artist belt while they were fighting each other.
wear#toilet#glove#brush#clean,The,"The man is wearing a black gloves, a black shirt and black gloves and clean toilet."
sew#give#machine#instruction#use,The,The machine uses conditional conditional instructions to give it the ability to use multiplesegments.
ride#paint#face#bike#drag,The,"The bike is painted in the face of the ride, and drag races around the city."
box#cut#wrap#strip#paper,The,"The box was wrapped in paper, and the strips were cut into strips long and wide."
tap#hand#pen#hold#table,The,The pen is held by a table that has a hand-tap on the middle of it.
mower#helmet#race#track#wear,The,"The race is wearing a yellow helmet, as opposed to the green track-side option."
sail#ride#wind#power#vehicle,The,The vehicle is powered by a single-cylinder diesel engine that rides on the vehicle.
hit#caddy#scorekeeper#wait#ball,The,The ball is waiting for Caddy to hit the ball and scorekeeper is about to.
floor#clean#mop#chase#dog,The,"The mop is clean, the dog is chatted up and chased on the floor."
father#daughter#son#plant#tree,The,The son of a tree-planting father and a daughter of a schoolteacher.
member#instrument#parade#band#march,The,"The band is members of the ""Parade of Nations"" musical instrument group marching down;."
walk#field#leash#grass#dog,The,The dog is walking on the grass and the field with a leash and a walker.
mirror#adjust#tie#front#stand,The,The mirror is in front of the camera and is adjusted to a standing tie-dye.
suck#sucker#put#lip#mouth,The,"The mouth is putting on a suck, and the lips are getting ready to punch."
hang#doughnut#eat#kid#string,The,The doughnuts are hanging by a string and the kids are eating them off of it.
pad#hold#air#head#kick,The,The PADI Air Force also held a kick-off for its new air base.
direction#swim#flip#pool#wall,The,"The pool is open to swim, flip-flop, and sunbathe in direction."
leg#massage#masseuse#table#lie,The,The woman lies down on the table with her legs and head resting on a massage table.
front#house#run#field#dog,The,The house runs on a hot spring field with a dog in front of it (H.
head#rest#shoulder#close#eye,The,"The rest of the eyes closed, someone's head was on his shoulder and someone else."
lie#shirt#pant#wear#beach,The,"The Panthers wore black and white shirts, while the beach lay in orange and yellow stripes."
puddle#rain#splash#dog#water,The,The dog is splashing water in the rain as a puddle of his own blood.
car#street#ride#camel#pass,The,"The camel is passing through the street, and the car is riding on the other side."
row#wear#shirt#boat#water,The,The boat is wearing a yellow and blue water-resistance shirt with a row of buttons.
keep#kick#ball#air#foot,The,"The ball was kicked straight into the air, keeping it in the foot of the forward."
concert#clap#crowd#wear#wristband,The,The concert was wearing a wristband with a large clap for the crowd of 1.
fall#run#bag#punch#kick,The,"The man runs away, but the bag falls off and punches him in the head kicks him."
perform#wood#kick#block#karate,The,The wood blocks were usually performed by karate kickboxing and karate on the ground.
demonstrate#hand#fold#pair#napkin,The,The hand demonstrates that a pair of napkin-shaped hands are folded over one another.
cook#stone#pour#knife#oil,The,The man pouring the oil onto the stone is cooking with a knife and an oil ladle.
coat#chair#sit#wear#hat,The,"The man is wearing a hat and a coat, and is sitting under a large chair."
area#game#ball#begin#hit,The,The game began with the ball hit in the area of the middle of the goal zone.
pull#hand#back#neck#cup,The,The back of the cup is pulled down by the hand on the neck of the man.
wine#open#stand#attempt#bottle,The,"The man opened the bottle and attempted to stand up, but was stopped by the wine."
walk#wear#snow#sweater#dog,The,"The snow is wearing off, and the dog is walking through the sweaters and snow."
clothing#piece#bucket#water#wash,The,The man is washing a piece of clothing with a bucket of water on the tarmac.
